SPECIAL-OTH,E018,QN,,,,,8044990,1/29/2018,4799463,
SPECIAL-OTH,E018,QN,,,,,8037860,1/30/2018,4799464,
SPECIAL-OTH,E018,QN,,,,,8037859,1/30/2018,4799455,
SPECIAL-OTH,E018,QN,,,,,8037858,1/30/2018,4799453,
SPECIAL-OTH,E018,QN,,,,,8037857,1/30/2018,4799452,
SPECIAL-OTH,E018,QN,,,,,8037856,1/30/2018,4799458,
CONSTR,E270,QN,40.710008,-73.790524,412,27,8037855,1/30/2018,4210175,4098240063
CONSTR,E270,QN,,,,,8037854,1/30/2018,4596254,
CONSTR,E270,QN,40.679222,-73.762073,412,27,8037853,1/30/2018,4270452,4125420003
CONSTR,E270,QN,,,,,8037852,1/30/2018,4607293,
CONSTR,E270,QN,,,,,8037851,1/30/2018,4607358,
CONSTR,E270,QN,40.600895,-73.741131,414,31,8037850,1/30/2018,4298713,4155880022
COMPLAINT,E055,MN,40.720964,-74.003618,102,1,8037849,1/30/2018,1002970,1002290006
COM_OCPCY,E168,SI,,,,,8037848,1/29/2018,5165051,
CONSTR,E212,BK,,,,,8037845,1/30/2018,3827326,
CONSTR,E212,BK,,,,,8037844,1/30/2018,3048968,
CONSTR,E212,BK,40.691567,-73.954846,303,33,8037843,1/30/2018,3048976,3017620065
ALT,E212,BK,40.694193,-73.948425,303,36,8037842,1/30/2018,3048824,3017590072
ALT,E212,BK,,,,,8037841,1/30/2018,3049585,
ALT,E212,BK,40.694885,-73.992712,302,33,8037840,1/30/2018,3255545,3002430045
ALT,E212,BK,40.700446,-73.992426,302,33,8037839,1/30/2018,3001545,3002110037
ALT,E212,BK,40.700814,-73.99393,302,33,8037838,1/30/2018,3001538,3002100024
CONSTR,E212,BK,,,,,8037837,1/30/2018,3810112,
CONSTR,E212,BK,,,,,8037836,1/30/2018,3001649,
CONSTR,E212,BK,40.717516,-73.956765,301,33,8037835,1/30/2018,3335676,3023200028
CONSTR,E212,BK,,,,,8037834,1/30/2018,3408189,
CONSTR,E204,BX,40.886974,-73.861267,212,12,8037833,1/28/2018,2062932,2048250004
CONSTR,E204,BX,,,,,8037832,1/28/2018,2063004,
CONSTR,E204,BX,40.883033,-73.856694,212,12,8037831,1/28/2018,2058604,2046790082
CONSTR,E204,BX,40.87895,-73.862401,212,12,8037830,1/28/2018,2057816,2046610062
ABATE,E204,BX,40.877202,-73.862286,212,12,8037829,1/28/2018,2057725,2046590031
CONSTR,E204,BX,40.867153,-73.866577,211,15,8037828,1/28/2018,2053560,2045090044
CONSTR,E204,BX,,,,,8037827,1/28/2018,2829917,
CONSTR,E204,BX,40.869178,-73.863694,211,13,8037826,1/28/2018,2054889,2045490035
CONSTR,E204,BX,40.87418,-73.867441,212,12,8037825,1/28/2018,2056900,2046240047
CONSTR,E204,BX,,,,,8037824,1/28/2018,2803709,
CONSTR,E212,BK,,,,,8037823,1/30/2018,3827986,
ALT,E212,BK,40.692601,-73.936205,303,36,8037822,1/30/2018,3043250,3016020078
CONSTR,E212,BK,40.693795,-73.931942,303,36,8037821,1/30/2018,3043182,3015990049
CONSTR,E212,BK,,,,,8037820,1/30/2018,3325565,
ALT,E212,BK,40.699504,-73.94088,303,36,8037819,1/30/2018,3042820,3015780027
CONSTR,E261,QN,,,,,8037815,1/30/2018,4542765,
CONSTR,E261,QN,,,,,8037814,1/30/2018,4607299,
CONSTR,E261,QN,,,,,8037813,1/30/2018,4042322,
COM_OCPCY,E007,MN,40.716607,-74.007593,101,1,8037812,1/30/2018,1001607,1001477509
E-CIDS,L136,QN,40.725404,-73.886732,405,30,8037811,1/30/2018,4063320,4028210069
CONSTR,E261,QN,40.766621,-73.914218,401,22,8037808,1/30/2018,4010215,4006530089
OTHER,L136,QN,40.721851,-73.872571,405,30,8037807,1/30/2018,4069339,4029940020
SPECIAL-OTH,E040,MN,40.769501,-73.992484,104,6,8037794,1/30/2018,1027160,1011030036
COMPLAINT,E040,MN,40.769885,-73.985101,107,3,8037793,1/30/2018,1076229,1011310031
CONSTR,E261,QN,40.747906,-73.884633,403,21,8037791,1/30/2018,4030036,4012920149
CONSTR,E261,QN,,,,,8037789,1/30/2018,4607313,
CONSTR,E261,QN,40.762574,-73.906476,401,22,8037786,1/30/2018,4014000,4007440080
DEMO,E036,MN,,,,,8037785,1/30/2018,1022691,
ALT,E212,BK,40.718273,-73.954438,301,33,8037772,1/30/2018,3061710,3023060009
ALT,E261,QN,40.76507,-73.914393,401,22,8037771,1/30/2018,4010759,4006620027
CONSTR,E261,QN,40.766268,-73.915987,401,22,8037768,1/30/2018,4009246,4006300019
1935-10-01T00:00:00.000,E220,BK,40.663048,-73.981834,306,39,8037767,1/30/2018,3026500,3011000044
ALT,E036,MN,40.756605,-73.966211,106,4,8037766,1/30/2018,1039829,1013460009
ALT,E036,MN,40.7565,-73.965955,106,4,8037765,1/30/2018,1039832,1013460012
SPECIAL-OTH,L119,BK,40.693455,-73.963546,302,35,8037761,1/30/2018,3259561,3019057501
SPECIAL-OTH,E221,BK,40.714953,-73.965305,301,33,8037758,1/30/2018,3062888,3024037501
CONSTR,E212,BK,,,,,8037756,1/29/2018,3074079,
